,gene1,gene2,result
156,G:HGNC:7458,G:HGNC:7717,"Meta path:['GPdPG'], rank is 1 and total rank is 15"
157,G:HGNC:4637,G:HGNC:33437,"Meta path:['GTG'], rank is 10 and total rank is 300"
158,G:HGNC:2288,G:HGNC:2287,"Meta path:['GTG'], rank is 2 and total rank is 165"
159,G:HGNC:3284,G:HGNC:15997,"Meta path:['GTG'], rank is 112 and total rank is 377"
160,G:HGNC:10481,G:HGNC:8031,"Meta path:['GTG'], rank is 66 and total rank is 764"
161,G:HGNC:1459,G:HGNC:13415,"Meta path:['GTG'], rank is 18 and total rank is 482"
162,G:HGNC:16890,G:HGNC:9286,"Meta path:['GTG'], rank is 104 and total rank is 314"
163,G:HGNC:18080,G:HGNC:23317,"Meta path:['GTG'], rank is 2 and total rank is 206"
164,G:HGNC:9304,G:HGNC:9305,"Meta path:['GTG'], rank is 5 and total rank is 376"
165,G:HGNC:393,G:HGNC:8590,"Meta path:['GTG', 'GMG', 'GMDMG', 'GMDpDMG'], rank is 187 and total rank is 7676"
166,G:HGNC:9611,G:HGNC:12434,"Meta path:['GPdPG'], rank is 4 and total rank is 40"
167,G:HGNC:4260,G:HGNC:4251,"Meta path:['GTG'], rank is 7 and total rank is 283"
168,G:HGNC:12434,G:HGNC:2731,"Meta path:['GPdPG'], rank is 3 and total rank is 41"
169,G:HGNC:9276,G:HGNC:9303,"Meta path:['GTG'], rank is 58 and total rank is 380"
170,G:HGNC:813,G:HGNC:816,"Meta path:['GTG'], rank is 10 and total rank is 403"
171,G:HGNC:21531,G:HGNC:4126,"Meta path:['GTG'], rank is 12 and total rank is 263"
172,G:HGNC:9318,G:HGNC:9307,"Meta path:['GTG'], rank is 12 and total rank is 235"
173,G:HGNC:6863,G:HGNC:9407,"Meta path:['GPdPG'], rank is 1 and total rank is 27"
174,G:HGNC:9302,G:HGNC:9316,"Meta path:['GTG'], rank is 75 and total rank is 554"
175,G:HGNC:29149,G:HGNC:9319,"Meta path:['GTG', 'GMDMG'], rank is 6 and total rank is 12761"
