G:HGNC:20266,P:Q9Y673
G:HGNC:23157,P:Q9Y672
G:HGNC:23161,P:Q9BVK2
G:HGNC:15672,P:Q9H6U8
G:HGNC:23162,P:Q5BKT4
G:HGNC:31088,P:Q5I7T1
G:HGNC:32456,P:Q2TAA5
G:HGNC:19358,P:Q9BV10
G:HGNC:30881,P:Q9NP73
G:HGNC:28287,P:Q96F25
G:HGNC:427,P:Q9UM73
G:HGNC:33775,P:Q6UXT8
G:HGNC:27683,P:Q6UX46
G:HGNC:17911,P:Q13686
G:HGNC:32487,P:Q6NS38
G:HGNC:30141,P:Q96Q83
G:HGNC:21900,P:Q9NXW9
G:HGNC:25996,P:Q6P6C2
G:HGNC:28243,P:Q3KRA9
G:HGNC:21306,P:Q9BT30
G:HGNC:25189,P:Q96BT7
G:HGNC:17377,P:Q8N6M5
G:HGNC:428,P:Q8TCU4
G:HGNC:435,P:P09917
G:HGNC:436,P:P20292
G:HGNC:429,P:P18054
G:HGNC:430,P:O75342
G:HGNC:433,P:P16050
G:HGNC:434,P:O15296
G:HGNC:13743,P:Q9BYJ1
G:HGNC:441,P:P10696
G:HGNC:437,P:P09923
G:HGNC:20917,P:Q96QP1
G:HGNC:20565,P:Q86TB3
G:HGNC:17574,P:Q96L96
G:HGNC:438,P:P05186
G:HGNC:439,P:P05187
G:HGNC:443,P:Q96Q42
G:HGNC:20605,P:Q60I27
G:HGNC:1494,P:Q15699
G:HGNC:449,P:O95076
G:HGNC:450,P:Q9H161
G:HGNC:19071,P:Q86V81
G:HGNC:451,P:Q9UHK6
G:HGNC:452,P:Q9NP70
G:HGNC:453,P:P02760
G:HGNC:25990,P:Q9C0C7
G:HGNC:457,P:P17707
G:HGNC:28577,P:Q96NU7
G:HGNC:24262,P:Q9Y303
G:HGNC:461,P:Q99217
G:HGNC:462,P:Q99218
G:HGNC:26837,P:Q5JTC6
G:HGNC:26360,P:Q8N7J2
G:HGNC:26771,P:Q8N944
G:HGNC:463,P:Q9UKV5
G:HGNC:464,P:P03971
G:HGNC:465,P:Q16671
G:HGNC:20824,P:Q86WK6
