HGNC ID,RefSeq IDs,Enzyme IDs
HGNC:24289,NM_006090,"2.7.8.1, 2.7.8.2"
HGNC:19256,NM_022766,2.7.1.138
HGNC:1863,NM_001266,3.1.1.1
HGNC:26459,NM_145024,3.1.1.1
HGNC:1037,NM_001710,3.4.21.47
HGNC:5394,NM_000204,3.4.21.45
HGNC:21367,NM_138441,2.7.7.86
HGNC:1907,NM_003956,1.14.99.38
HGNC:1912,NM_020549,2.3.1.6
HGNC:24288,NM_018397,1.1.99.1
HGNC:1937,NM_001277,2.7.1.32
HGNC:24291,NM_024536,"2.4.1.175, 2.4.1.226"
HGNC:29270,NM_019015,2.4.1.226
HGNC:17852,NM_020244,2.7.8.2
HGNC:1969,NM_003654,2.8.2.21
HGNC:1970,NM_004267,2.8.2.-
HGNC:1971,NM_004273,2.8.2.17
HGNC:1972,NM_005769,2.8.2.-
HGNC:1973,NM_012126,2.8.2.-
HGNC:6938,NM_021615,2.8.2.-
HGNC:13817,NM_019886,2.8.2.17
HGNC:15993,NM_022467,2.8.2.-
HGNC:19898,NM_031422,2.8.1.-
HGNC:19650,NM_004854,2.8.2.-
HGNC:17422,NM_018413,2.8.2.5
HGNC:17423,NM_018641,2.8.2.5
HGNC:21755,NM_152889,2.8.2.5
HGNC:24464,NM_130468,2.8.2.35
HGNC:18137,NM_015892,2.8.2.33
HGNC:17198,NM_014918,"2.4.1.175, 2.4.1.226"
HGNC:24293,NM_175856,"2.4.1.175, 2.4.1.226"
HGNC:1974,NM_001278,2.7.11.10
HGNC:1985,NM_007174,2.7.11.1
HGNC:1995,NM_020990,2.7.3.2
HGNC:1996,NM_001825,2.7.3.2
HGNC:16999,NM_006831,2.7.1.78
HGNC:2097,NM_001836,3.4.21.39
HGNC:18290,NM_018686,2.7.7.43
HGNC:25090,NM_138809,3.1.-.-
HGNC:18170,NM_016308,2.7.4.14
HGNC:27015,NM_207315,"2.7.4.14, 2.7.4.6"
HGNC:21077,NM_015050,2.1.1.57
HGNC:20675,NM_032649,3.4.13.20
HGNC:24437,NM_018235,3.4.13.18
HGNC:29932,NM_025233,2.7.7.3
HGNC:26182,NM_024656,2.4.1.50
HGNC:16790,NM_015101,2.4.1.50
HGNC:2228,NM_000754,2.1.1.6
HGNC:25223,NM_015697,2.5.1.39
HGNC:18175,NM_017421,2.1.1.114
HGNC:28722,NM_032314,2.1.1.201
HGNC:2265,NM_001861,1.9.3.1
HGNC:2267,NM_004255,1.9.3.1
HGNC:2269,NM_001862,1.9.3.1
HGNC:2277,NM_004373,1.9.3.1
HGNC:2279,NM_005205,1.9.3.1
HGNC:2280,NM_001863,1.9.3.1
HGNC:2285,NM_004374,1.9.3.1
HGNC:2287,NM_001864,1.9.3.1
HGNC:2288,NM_001865,1.9.3.1
HGNC:2292,NM_001867,1.9.3.1
HGNC:2294,NM_004074,1.9.3.1
HGNC:2260,NM_001303,2.5.1.-
HGNC:2295,NM_000096,1.16.3.1
HGNC:2296,NM_001868,3.4.17.1
HGNC:2297,NM_001869,3.4.17.15
HGNC:2298,NM_001870,3.4.17.1
HGNC:2299,NM_001871,3.4.17.2
HGNC:2301,NM_001304,3.4.17.22
HGNC:2303,NM_001873,3.4.17.10
HGNC:2311,NM_198320,3.4.17.12
HGNC:2312,NM_001308,3.4.17.3
HGNC:2313,NM_001080513,3.4.17.3
HGNC:2321,NM_000097,1.3.3.3
HGNC:2323,NM_001122633,6.3.4.16
HGNC:2328,NM_001876,2.3.1.21
HGNC:2329,NM_152246,2.3.1.21
HGNC:2330,NM_000098,2.3.1.21
HGNC:16148,NM_019095,2.7.8.41
HGNC:37276,NM_001101426,2.7.7.40
HGNC:2422,NM_004077,2.3.3.1
HGNC:18966,NM_015989,4.1.1.29
HGNC:24290,NM_018371,2.4.1.74
HGNC:24292,NM_018590,2.4.1.174
HGNC:2444,NM_004383,2.7.10.1
HGNC:2460,NM_001320,2.7.11.1
HGNC:2496,NM_004388,3.2.1.-
HGNC:16890,NM_005808,3.1.3.16
HGNC:2501,NM_001902,4.4.1.1
HGNC:2519,NM_001905,6.3.4.2
HGNC:2520,NM_019857,6.3.4.2
HGNC:2521,NM_001906,3.4.21.1
HGNC:2522,NM_001025200,3.4.21.1
HGNC:2523,NM_007272,3.4.21.2
HGNC:9251,NM_000308,3.4.16.5
HGNC:2527,NM_147780,3.4.22.1
HGNC:2528,NM_001814,3.4.14.1
HGNC:2529,NM_001909,3.4.23.5
HGNC:2530,NM_001910,3.4.23.5
HGNC:2535,NM_004390,3.4.22.16
HGNC:2537,NM_001912,3.4.22.15
HGNC:2545,NM_004079,3.4.22.27
HGNC:13397,NM_016243,1.6.2.2
HGNC:24376,NM_016229,1.6.2.2
HGNC:20147,NM_016230,1.6.2.2
HGNC:2595,NM_000499,1.14.14.1
HGNC:2596,NM_000761,1.14.14.1
HGNC:20580,NM_024514,1.14.14.24
HGNC:2651,NM_000780,1.14.14.23
HGNC:2593,NM_000102,"1.14.14.19, 1.14.14.32"
HGNC:2600,NM_000500,1.14.14.16
HGNC:28358,NM_152783,1.1.99.-
HGNC:1165,NM_006133,3.1.1.-
HGNC:28923,NM_139179,3.1.1.-
HGNC:2678,NM_001349,6.1.1.12
HGNC:25538,NM_018122,6.1.1.12
HGNC:2689,NM_000787,1.14.17.1
HGNC:2698,NM_001918,2.3.1.168
HGNC:24452,NM_152624,3.6.1.62
HGNC:29812,NM_014026,3.6.1.59
HGNC:28777,NM_024096,3.6.1.12
HGNC:2730,NM_013994,2.7.10.1
HGNC:2731,NM_006182,2.7.10.1
HGNC:2732,NM_001355,4.1.1.84
HGNC:2754,NM_020664,1.3.1.34
HGNC:24269,NM_015954,4.1.2.4
HGNC:2843,NM_012079,2.3.1.20
HGNC:2850,NM_004080,2.7.1.107
HGNC:2852,NM_003647,2.7.1.107
HGNC:2857,NM_001105540,2.7.1.107
HGNC:2860,NM_001360,1.3.1.21
HGNC:2859,NM_014762,1.3.1.72
HGNC:17887,NM_014475,1.3.1.20
HGNC:2861,NM_000791,1.5.1.3
HGNC:27309,NM_176815,1.5.1.3
HGNC:2867,NM_001361,1.3.5.2
HGNC:16445,NM_138452,1.1.-.-
HGNC:17693,NM_004753,1.1.1.300
HGNC:28326,NM_144683,1.1.-.-
HGNC:30217,NM_014473,2.1.1.183
HGNC:2885,NM_001362,1.21.99.3
HGNC:2896,NM_001931,2.3.1.12
HGNC:2898,NM_000108,1.8.1.4
HGNC:24475,NM_013391,1.5.8.4
HGNC:2933,NM_004409,2.7.11.1
HGNC:2972,NM_004408,3.6.5.5
HGNC:2973,NM_012062,3.6.5.5
HGNC:2976,NM_001379,2.1.1.37
HGNC:2983,NM_004088,2.7.7.31
HGNC:29565,NM_020438,3.6.1.43
HGNC:24948,NM_032482,2.1.1.43
HGNC:2995,NM_001382,2.7.8.15
HGNC:3002,NM_001128141,3.4.13.19
HGNC:23028,NM_022355,3.4.13.19
HGNC:23029,NM_022357,3.4.13.19
HGNC:30543,NM_080650,6.3.1.14
HGNC:3005,NM_003859,2.4.1.83
HGNC:16490,NM_017743,3.4.14.5
HGNC:3012,NM_000110,1.3.1.2
HGNC:17904,NM_013235,3.1.26.3
HGNC:21144,NM_013352,5.1.3.19
HGNC:18144,NM_032160,5.1.3.19
HGNC:16219,NM_080820,3.1.1.96
HGNC:3061,NM_012145,2.7.4.9
HGNC:26014,NM_017803,1.3.1.91
HGNC:3092,NM_004714,2.7.12.1
HGNC:3094,NM_003582,2.7.12.1
HGNC:29419,NM_133451,6.1.1.17
HGNC:3133,NM_006579,5.3.3.5
HGNC:24650,NM_024757,2.1.1.43
HGNC:14129,NM_006709,2.1.1.43
HGNC:3284,NM_001967,3.6.1.1
HGNC:3309,NM_001972,3.4.21.37
HGNC:24622,NM_022759,3.2.1.96
HGNC:3350,NM_001428,4.2.1.11
HGNC:31670,NM_001242699,4.2.1.11
HGNC:24599,NM_021204,3.1.3.77
HGNC:30365,NM_017512,4.2.1.68
HGNC:28526,NM_173654,2.4.1.255
HGNC:3386,NM_004431,2.7.10.1
HGNC:3387,NM_005233,2.7.10.1
HGNC:3391,NM_020526,2.7.10.1
HGNC:3393,NM_017449,2.7.10.1
HGNC:3401,NM_000120,3.3.2.9
HGNC:3402,NM_001979,"3.3.2.10, 3.1.3.76"
HGNC:3418,NM_004446,"6.1.1.15, 6.1.1.17"
HGNC:3423,NM_000502,1.11.1.7
HGNC:3434,NM_000400,3.6.4.12
HGNC:3435,NM_000122,3.6.4.12
HGNC:3438,NM_000124,3.6.4.-
HGNC:30541,NM_080663,3.1.-.-
HGNC:3449,NM_001433,"3.1.26.-, 2.7.11.1"
HGNC:16856,NM_012291,3.4.22.49
HGNC:23287,NM_014297,1.13.11.18
HGNC:14404,NM_031279,4.2.3.2
HGNC:3347,NM_005107,3.1.30.-
HGNC:28112,NM_015004,3.1.13.-
HGNC:17035,NM_181503,3.1.13.-
HGNC:9137,NM_005033,3.1.13.-
HGNC:3512,NM_000127,"2.4.1.224, 2.4.1.225"
HGNC:3513,NM_000401,"2.4.1.224, 2.4.1.225"
HGNC:3515,NM_004455,2.4.1.224
HGNC:3516,NM_001439,2.4.1.223
HGNC:3518,NM_001440,2.4.1.223
HGNC:3544,NM_000131,3.4.21.21
HGNC:3530,NM_000505,3.4.21.38
HGNC:3574,NM_013402,1.14.19.3
HGNC:3575,NM_004265,1.14.19.3
HGNC:14169,NM_001018104,3.7.1.5
HGNC:23017,NM_014864,2.7.1.-
HGNC:22140,NM_020223,2.7.11.1
HGNC:26222,NM_032228,1.2.1.-
HGNC:25531,NM_018099,1.2.1.-
HGNC:21062,NM_006567,6.1.1.20
